LSOA_CODE,Pupil absence rates,Absence 10
E01028567,10.7,6.634
E01031353,10.7,6.634
E01014688,10.7,6.634
E01014691,10.7,6.634
E01014692,10.7,6.634
E01008299,10.6,6.572
E01008388,10.6,6.572
E01008431,10.6,6.572
E01008438,10.6,6.572
E01008460,10.6,6.572
E01012328,10.6,6.572
E01012332,10.6,6.572
E01005061,10.6,6.572
E01005075,10.6,6.572
E01005095,10.6,6.572
E01005113,10.6,6.572
E01005239,10.6,6.572
E01005283,10.6,6.572
E01005604,10.6,6.572
E01005662,10.6,6.572
E01005731,10.6,6.572
E01006493,10.6,6.572
E01006540,10.6,6.572
E01006547,10.6,6.572
E01006637,10.6,6.572
E01006650,10.6,6.572
E01006716,10.6,6.572
E01006746,10.6,6.572
E01006748,10.6,6.572
E01006752,10.6,6.572
E01006775,10.6,6.572
E01012526,10.6,6.572
E01012671,10.6,6.572
E01018477,10.6,6.572
E01025608,10.6,6.572
E01007462,10.6,6.572
E01007535,10.6,6.572
E01007558,10.6,6.572
E01007563,10.6,6.572
E01007721,10.6,6.572
E01007852,10.6,6.572
E01007946,10.6,6.572
E01007963,10.6,6.572
E01007966,10.6,6.572
E01007968,10.6,6.572
E01008001,10.6,6.572
E01008054,10.6,6.572
E01008120,10.6,6.572
E01010815,10.6,6.572
E01011291,10.6,6.572
E01011495,10.6,6.572
E01011740,10.6,6.572
E01011742,10.6,6.572
E01011745,10.6,6.572
E01012837,10.6,6.572
E01012864,10.6,6.572
E01012948,10.6,6.572
E01013221,10.6,6.572
E01013231,10.6,6.572
E01027854,10.6,6.572
E01027867,10.6,6.572
E01013779,10.6,6.572
E01013781,10.6,6.572
E01013813,10.6,6.572
E01013960,10.6,6.572
E01026092,10.6,6.572
E01026961,10.6,6.572
E01027195,10.6,6.572
E01027198,10.6,6.572
E01027310,10.6,6.572
E01027340,10.6,6.572
E01027341,10.6,6.572
E01028063,10.6,6.572
E01028227,10.6,6.572
E01028229,10.6,6.572
E01028319,10.6,6.572
E01010067,10.6,6.572
E01010076,10.6,6.572
E01014072,10.6,6.572
E01014263,10.6,6.572
E01032471,10.6,6.572
E01015861,10.6,6.572
E01015903,10.6,6.572
E01016003,10.6,6.572
E01021977,10.6,6.572
E01022003,10.6,6.572
